population	model	date	rep	h	S_allsites	W_meanFitness	L_mutationLoad	generation	subpopulation
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.239003554478708	0.787412083528228	0.212587916471772	100	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.24643115500931	0.781585167908442	0.218414832091558	100	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.240567636097463	0.786181469403338	0.213818530596662	200	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.248059032508482	0.78031387803275	0.21968612196725	200	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.241139360469262	0.785732118761221	0.214267881238779	300	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.253677164430407	0.775942263377956	0.224057736622044	300	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.243586183559765	0.783811921419692	0.216188078580308	400	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.255386748465569	0.774616858140906	0.225383141859094	400	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.242969094933883	0.784295752109085	0.215704247890915	500	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.250551253122338	0.77837158501731	0.22162841498269	500	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.244289929843387	0.783260510742299	0.216739489257701	600	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.252160065923667	0.777120337628433	0.222879662371567	600	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.246584084038099	0.781465649986911	0.218534350013089	700	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.255232963876023	0.774735991436688	0.225264008563312	700	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.24519945341933	0.782548440713001	0.217451559286999	800	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.253909356041692	0.775762117008606	0.224237882991394	800	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.245618570639713	0.782220529907047	0.217779470092953	900	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.255441260680116	0.774574633211441	0.225425366788559	900	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.247547043999764	0.780713492061662	0.219286507938338	1000	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.254909865564831	0.774986347769817	0.225013652230183	1000	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.24884720516063	0.779699098282113	0.220300901717887	1100	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.25537218290034	0.77462814095545	0.22537185904455	1100	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.25185854299648	0.777354692557328	0.222645307442672	1200	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.252551137990388	0.776816486989527	0.223183513010473	1200	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.249718729322163	0.779019867705157	0.220980132294843	1300	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.254059355260131	0.775645762024156	0.224354237975844	1300	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.249897490627246	0.778880621543203	0.221119378456797	1400	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.256788789233938	0.773531574709515	0.226468425290485	1400	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.249784326260097	0.778968768063254	0.221031231936746	1500	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.253509162333848	0.776072634255997	0.223927365744003	1500	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.246769275538003	0.781320942590769	0.218679057409231	1600	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.249582458127042	0.779126032907017	0.220873967092983	1600	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.248558261919633	0.779924419617544	0.220075580382456	1700	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.252457224679106	0.776889443823834	0.223110556176166	1700	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.246049491552505	0.781883527338237	0.218116472661763	1800	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.258564835587389	0.772158966046084	0.227841033953916	1800	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.243698033099813	0.783724257319483	0.216275742680517	1900	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.257345963146787	0.773100703141666	0.226899296858334	1900	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.245525876786058	0.782293040302954	0.217706959697046	2000	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.262118075919836	0.769420168349648	0.230579831650352	2000	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.249370672496907	0.779291058079214	0.220708941920786	2100	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.26023211058851	0.770872637334934	0.229127362665066	2100	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.246235097050896	0.781738418923338	0.218261581076662	2200	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.259743333658991	0.771249514192515	0.228750485807485	2200	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.247206041284575	0.780979762879196	0.219020237120804	2300	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.259489692459492	0.771445159655234	0.228554840344766	2300	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.245704304166821	0.782153470256713	0.217846529743287	2400	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.257698930146836	0.772827872258725	0.227172127741275	2400	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.246093292999381	0.781849280458488	0.218150719541512	2500	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.257230226635979	0.77319018429757	0.22680981570243	2500	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.247866405356784	0.780464202150295	0.219535797849705	2600	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.257012829243652	0.773358292099846	0.226641707900154	2600	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.246389836184728	0.781617462756079	0.218382537243921	2700	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.253680270215735	0.775939853471602	0.224060146528398	2700	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.246873428162084	0.781239570201997	0.218760429798003	2800	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.257282631376015	0.773149666528635	0.226850333471365	2800	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.248243605433065	0.780169866508912	0.219830133491088	2900	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.253526456027945	0.776059213209313	0.223940786790687	2900	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.252641970889632	0.776745929700343	0.223254070299657	3000	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.256706920997645	0.773594904967585	0.226405095032415	3000	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.252730442548656	0.776677212739099	0.223322787260901	3100	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.256348314877062	0.773872370582819	0.226127629417181	3100	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.253082274581304	0.77640400088179	0.22359599911821	3200	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.254012135422442	0.775682388755891	0.224317611244109	3200	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.252596346569909	0.776781369013425	0.223218630986575	3300	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.252746606066808	0.776664659004329	0.223335340995671	3300	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.251197111570149	0.777869029460935	0.222130970539065	3400	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.254771243815059	0.775093785179803	0.224906214820197	3400	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.251166969830507	0.777892476140058	0.222107523859942	3500	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.254801080435595	0.775070659345655	0.224929340654345	3500	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.248675810238433	0.77983274620136	0.22016725379864	3600	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.261604827632181	0.769815173292675	0.230184826707325	3600	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.245705628774287	0.782152434211073	0.217847565788927	3700	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.262514030833483	0.769115572960331	0.230884427039669	3700	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.24613476301229	0.781816857831023	0.218183142168977	3800	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.256234387024574	0.77396054122255	0.22603945877745	3800	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.246807789350373	0.781290851522051	0.218709148477949	3900	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.25628634528666	0.773920328622602	0.226079671377398	3900	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.248303020146715	0.78012351431671	0.21987648568329	4000	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.25907362492011	0.771766199727124	0.228233800272876	4000	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.24694587158328	0.7811829765847	0.2188170234153	4100	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.258634116441415	0.772105472066549	0.227894527933451	4100	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.247989476630724	0.780368155337095	0.219631844662905	4200	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.254935515807794	0.774966469436647	0.225033530563353	4200	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.249136076033263	0.779473898451603	0.220526101548397	4300	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.255370138977604	0.774629724237138	0.225370275762862	4300	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.248782074681069	0.779749882112067	0.220250117887933	4400	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.255319555486228	0.774668908704148	0.225331091295852	4400	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.249521959118787	0.779173170685194	0.220826829314806	4500	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.260156064007638	0.770931261792358	0.229068738207642	4500	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.247648784024565	0.780634066292076	0.219365933707924	4600	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.25825960074004	0.772394691844248	0.227605308155752	4600	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.250151234201415	0.778683010662748	0.221316989337252	4700	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.260902291935309	0.770356185950007	0.229643814049993	4700	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.249063950703483	0.779530120291068	0.220469879708932	4800	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.261689096734724	0.769750304392158	0.230249695607842	4800	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.250926214817216	0.77807978019978	0.22192021980022	4900	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.259226895677775	0.771647919601626	0.228352080398374	4900	2
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.249637431998267	0.779083202510103	0.220916797489897	5000	1
CA_AK	2D.3Epoch.Translocation	20191006	1	0	0.260303924329839	0.770817280074489	0.229182719925511	5000	2
